CPU	 1	 0.06665
CPU	 3	 0.05
CPU	 5	 0.033325
CPU	 7	 0.05
CPU	 9	 0.05
CPU	 11	 0.05
CPU	 13	 0.06665
CPU	 15	 0.066675
CPU	 17	 0.066675
CPU	 19	 0.06665
CPU	 21	 0.066675
CPU	 23	 0.05
CPU	 25	 0.066675
CPU	 27	 0.05
CPU	 29	 0.06665
CPU	 31	 0.05
CPU	 33	 0.066675
CPU	 35	 0.05
CPU	 37	 0.05
CPU	 39	 0.05
CPU	 41	 0.05
CPU	 43	 0.05
CPU	 45	 0.05
CPU	 47	 0.05
CPU	 49	 0.05
CPU	 51	 0.05
CPU	 53	 0.05
CPU	 55	 0.066675
CPU	 57	 0.05
CPU	 59	 0.05
CPU	 61	 0.06665
CPU	 63	 0.066675
CPU	 65	 0.05
CPU	 67	 0.05
CPU	 69	 0.066675
CPU	 71	 0.05
CPU	 73	 0.08335
CPU	 75	 0.08335
CPU	 77	 0.08335
CPU	 79	 0.08335
CPU	 81	 0.066675
CPU	 83	 0.05
CPU	 85	 0.05
CPU	 87	 0.06665
CPU	 89	 0.05
CPU	 91	 0.05
CPU	 101	 0.05
CPU	 103	 0.066675
CPU	 93	 0.05
CPU	 95	 0.05
CPU	 105	 0.066675
CPU	 107	 0.066675
CPU	 109	 0.05
CPU	 111	 0.05
CPU	 97	 0.05
CPU	 113	 0.05
CPU	 115	 0.03335
CPU	 117	 0.05
CPU	 99	 0.066675
CPU	 119	 0.05
CPU	 121	 0.05
CPU	 123	 0.05
CPU	 125	 0.05
CPU	 127	 0.05
CPU	 129	 0.05
CPU	 131	 0.05
CPU	 133	 0.05
CPU	 135	 0.05
CPU	 137	 0.05
CPU	 139	 0.05
CPU	 141	 0.05
CPU	 143	 0.05
CPU	 145	 0.05
CPU	 147	 0.05
CPU	 149	 0.05
CPU	 151	 0.06665
CPU	 153	 0.06665
CPU	 155	 0.06665
CPU	 157	 0.05
CPU	 159	 0.05
CPU	 161	 0.05
CPU	 163	 0.05
CPU	 165	 0.05
CPU	 167	 0.05
CPU	 169	 0.05
CPU	 171	 0.05
CPU	 173	 0.05
CPU	 175	 0.066675
CPU	 177	 0.05
CPU	 179	 0.066675
CPU	 181	 0.06665
CPU	 183	 0.05
CPU	 185	 0.033325
CPU	 187	 0.05
CPU	 189	 0.05
CPU	 191	 0.05
CPU	 193	 0.066675
CPU	 195	 0.06665
CPU	 197	 0.06665
CPU	 199	 0.066675
IO	 100	 315907
IO	 102	 315907
IO	 104	 315908
IO	 106	 315908
IO	 108	 315920
IO	 110	 315930
IO	 112	 315941
IO	 114	 315941
IO	 116	 315942
IO	 118	 315942
IO	 120	 315945
IO	 122	 315945
IO	 124	 315946
IO	 126	 315946
IO	 128	 315947
IO	 130	 315947
IO	 132	 315948
IO	 134	 315948
IO	 136	 315949
IO	 0	 315954
IO	 138	 315949
IO	 140	 315949
IO	 2	 315955
IO	 142	 315950
IO	 4	 315955
IO	 144	 315950
IO	 6	 315955
IO	 146	 315950
IO	 8	 315955
IO	 148	 315950
IO	 10	 315956
IO	 150	 315951
IO	 12	 315956
IO	 14	 315956
IO	 16	 315956
IO	 152	 315951
IO	 18	 315956
IO	 154	 315951
IO	 20	 315956
IO	 156	 315951
IO	 22	 315957
IO	 158	 315951
IO	 24	 315957
IO	 26	 315957
IO	 160	 315951
IO	 162	 315952
IO	 28	 315957
IO	 30	 315957
IO	 164	 315952
IO	 166	 315952
IO	 32	 315957
IO	 168	 315952
IO	 170	 315952
IO	 172	 315952
IO	 34	 315957
IO	 36	 315957
IO	 174	 315952
IO	 38	 315957
IO	 176	 315952
IO	 40	 315957
IO	 178	 315952
IO	 42	 315957
IO	 44	 315957
IO	 46	 315957
IO	 180	 315952
IO	 182	 315952
IO	 184	 315952
IO	 48	 315957
IO	 50	 315957
IO	 186	 315952
IO	 188	 315952
IO	 190	 315952
IO	 52	 315957
IO	 54	 315957
IO	 56	 315957
IO	 58	 315957
IO	 192	 315951
IO	 60	 315957
IO	 194	 315951
IO	 62	 315957
IO	 196	 315951
IO	 64	 315957
IO	 66	 315957
IO	 68	 315957
IO	 70	 315957
IO	 198	 315951
IO	 72	 315957
IO	 74	 315957
IO	 76	 315957
IO	 78	 315957
IO	 80	 315957
IO	 82	 315957
IO	 84	 315957
IO	 86	 315957
IO	 88	 315956
IO	 90	 315956
IO	 92	 315956
IO	 94	 315956
IO	 96	 315956
IO	 98	 315956
